,Gene,Chromosome_Accession,Transcript,Transcript_ID_Full
0,OR4F5,NC_000001.10,NM_001005484,NM_001005484.1
1,OR4F29,NC_000001.10,NM_001005221,NM_001005221.2
2,OR4F16,NC_000001.10,NM_001005277,NM_001005277.1
3,SAMD11,NC_000001.10,NM_152486,NM_152486.2
4,NOC2L,NC_000001.10,NM_015658,NM_015658.3
5,KLHL17,NC_000001.10,NM_198317,NM_198317.2
6,PLEKHN1,NC_000001.10,NM_001160184,NM_001160184.1
7,PLEKHN1,NC_000001.10,NM_032129,NM_032129.2
8,PERM1,NC_000001.10,NM_001291366,NM_001291366.1
9,PERM1,NC_000001.10,NM_001291367,NM_001291367.1
10,HES4,NC_000001.10,NM_021170,NM_021170.3
11,HES4,NC_000001.10,NM_001142467,NM_001142467.1
12,ISG15,NC_000001.10,NM_005101,NM_005101.3
13,AGRN,NC_000001.10,NM_001305275,NM_001305275.1
14,AGRN,NC_000001.10,NM_198576,NM_198576.3
15,RNF223,NC_000001.10,NM_001205252,NM_001205252.1
16,C1orf159,NC_000001.10,NM_017891,NM_017891.4
17,C1orf159,NC_000001.10,NM_001330306,NM_001330306.1
18,TTLL10,NC_000001.10,NM_001130045,NM_001130045.1
19,TTLL10,NC_000001.10,NM_153254,NM_153254.2
20,TNFRSF18,NC_000001.10,NM_148901,NM_148901.1
21,TNFRSF18,NC_000001.10,NM_148902,NM_148902.1
22,TNFRSF18,NC_000001.10,NM_004195,NM_004195.2
23,TNFRSF4,NC_000001.10,NM_003327,NM_003327.3
24,SDF4,NC_000001.10,NM_016176,NM_016176.3
25,SDF4,NC_000001.10,NM_016547,NM_016547.2
26,B3GALT6,NC_000001.10,NM_080605,NM_080605.3
27,FAM132A,NC_000001.10,NM_001014980,NM_001014980.2
28,UBE2J2,NC_000001.10,NM_194457,NM_194457.1
29,UBE2J2,NC_000001.10,NM_058167,NM_058167.2
30,UBE2J2,NC_000001.10,NM_194315,NM_194315.1
31,UBE2J2,NC_000001.10,NM_194458,NM_194458.1
32,SCNN1D,NC_000001.10,NM_001130413,NM_001130413.3
33,ACAP3,NC_000001.10,NM_030649,NM_030649.2
34,PUSL1,NC_000001.10,NM_001346116,NM_001346116.1
35,PUSL1,NC_000001.10,NM_153339,NM_153339.2
36,INTS11,NC_000001.10,NM_001256463,NM_001256463.1
37,INTS11,NC_000001.10,NM_017871,NM_017871.5
38,INTS11,NC_000001.10,NM_001256460,NM_001256460.1
39,INTS11,NC_000001.10,NM_001256462,NM_001256462.1
40,INTS11,NC_000001.10,NM_001256456,NM_001256456.1
41,CPTP,NC_000001.10,NM_001029885,NM_001029885.1
42,TAS1R3,NC_000001.10,NM_152228,NM_152228.2
43,DVL1,NC_000001.10,NM_004421,NM_004421.2
44,DVL1,NC_000001.10,NM_001330311,NM_001330311.1
45,MXRA8,NC_000001.10,NM_001282582,NM_001282582.1
46,MXRA8,NC_000001.10,NM_001282583,NM_001282583.1
47,MXRA8,NC_000001.10,NM_001282584,NM_001282584.1
48,MXRA8,NC_000001.10,NM_032348,NM_032348.3
49,MXRA8,NC_000001.10,NM_001282585,NM_001282585.1
50,AURKAIP1,NC_000001.10,NM_017900,NM_017900.2
51,AURKAIP1,NC_000001.10,NM_001127229,NM_001127229.1
52,AURKAIP1,NC_000001.10,NM_001127230,NM_001127230.1
53,CCNL2,NC_000001.10,NM_030937,NM_030937.4
54,CCNL2,NC_000001.10,NM_001320155,NM_001320155.1
55,CCNL2,NC_000001.10,NM_001320153,NM_001320153.1
56,CCNL2,NC_000001.10,NM_001039577,NM_001039577.3
57,MRPL20,NC_000001.10,NM_017971,NM_017971.3
58,MRPL20,NC_000001.10,NM_001318485,NM_001318485.1
59,ANKRD65,NC_000001.10,NM_001243536,NM_001243536.1
60,ANKRD65,NC_000001.10,NM_001243535,NM_001243535.1
61,ANKRD65,NC_000001.10,NM_001145210,NM_001145210.2
62,TMEM88B,NC_000001.10,NM_001146685,NM_001146685.1
63,VWA1,NC_000001.10,NM_022834,NM_022834.4
64,VWA1,NC_000001.10,NM_199121,NM_199121.2
65,ATAD3C,NC_000001.10,NM_001039211,NM_001039211.2
66,ATAD3B,NC_000001.10,NM_031921,NM_031921.5
67,ATAD3B,NC_000001.10,NM_001317238,NM_001317238.1
68,ATAD3A,NC_000001.10,NM_018188,NM_018188.3
69,ATAD3A,NC_000001.10,NM_001170535,NM_001170535.1
70,ATAD3A,NC_000001.10,NM_001170536,NM_001170536.1
71,TMEM240,NC_000001.10,NM_001114748,NM_001114748.1
72,SSU72,NC_000001.10,NM_014188,NM_014188.2
73,FNDC10,NC_000001.10,NM_001242659,NM_001242659.1
74,MIB2,NC_000001.10,NM_080875,NM_080875.2
75,MIB2,NC_000001.10,NM_001170686,NM_001170686.1
76,MIB2,NC_000001.10,NM_001170688,NM_001170688.1
77,MIB2,NC_000001.10,NM_001170687,NM_001170687.1
78,MIB2,NC_000001.10,NM_001170689,NM_001170689.1
79,MMP23B,NC_000001.10,NM_006983,NM_006983.1
80,CDK11B,NC_000001.10,NM_001291345,NM_001291345.1
81,CDK11B,NC_000001.10,NM_033486,NM_033486.2
82,CDK11B,NC_000001.10,NM_001787,NM_001787.2
83,CDK11B,NC_000001.10,NM_033487,NM_033487.2
84,CDK11B,NC_000001.10,NM_033490,NM_033490.2
85,CDK11B,NC_000001.10,NM_033489,NM_033489.2
86,SLC35E2B,NC_000001.10,NM_001110781,NM_001110781.2
87,SLC35E2B,NC_000001.10,NM_001290264,NM_001290264.1
88,CDK11A,NC_000001.10,NM_033529,NM_033529.3
89,CDK11A,NC_000001.10,NM_001313896,NM_001313896.1
90,CDK11A,NC_000001.10,NM_001313982,NM_001313982.1
91,CDK11A,NC_000001.10,NM_024011,NM_024011.3
92,SLC35E2,NC_000001.10,NM_001199787,NM_001199787.1
93,SLC35E2,NC_000001.10,NM_182838,NM_182838.2
94,NADK,NC_000001.10,NM_001198994,NM_001198994.1
95,NADK,NC_000001.10,NM_001198993,NM_001198993.1
96,NADK,NC_000001.10,NM_023018,NM_023018.4
97,NADK,NC_000001.10,NM_001198995,NM_001198995.1
98,GNB1,NC_000001.10,NM_001282539,NM_001282539.1
99,GNB1,NC_000001.10,NM_001282538,NM_001282538.1
100,GNB1,NC_000001.10,NM_002074,NM_002074.4
101,CALML6,NC_000001.10,NM_138705,NM_138705.3
102,CALML6,NC_000001.10,NM_001330313,NM_001330313.1
103,TMEM52,NC_000001.10,NM_178545,NM_178545.3
104,CFAP74,NC_000001.10,NM_001304360,NM_001304360.1
105,GABRD,NC_000001.10,NM_000815,NM_000815.4
106,PRKCZ,NC_000001.10,NM_002744,NM_002744.4
107,PRKCZ,NC_000001.10,NM_001033581,NM_001033581.1
108,PRKCZ,NC_000001.10,NM_001242874,NM_001242874.1
109,PRKCZ,NC_000001.10,NM_001033582,NM_001033582.1
110,FAAP20,NC_000001.10,NM_001146310,NM_001146310.1
111,FAAP20,NC_000001.10,NM_001256945,NM_001256945.1
112,FAAP20,NC_000001.10,NM_001282673,NM_001282673.1
113,FAAP20,NC_000001.10,NM_001282672,NM_001282672.1
114,FAAP20,NC_000001.10,NM_001282671,NM_001282671.1
115,FAAP20,NC_000001.10,NM_001282670,NM_001282670.1
116,FAAP20,NC_000001.10,NM_001256947,NM_001256947.1
117,FAAP20,NC_000001.10,NM_182533,NM_182533.2
118,FAAP20,NC_000001.10,NM_001256946,NM_001256946.1
119,SKI,NC_000001.10,NM_003036,NM_003036.3
120,MORN1,NC_000001.10,NM_024848,NM_024848.2
121,MORN1,NC_000001.10,NM_001301060,NM_001301060.1
122,RER1,NC_000001.10,NM_007033,NM_007033.4
123,PEX10,NC_000001.10,NM_002617,NM_002617.3
124,PEX10,NC_000001.10,NM_153818,NM_153818.1
125,PLCH2,NC_000001.10,NM_001303012,NM_001303012.1
126,PLCH2,NC_000001.10,NM_001303013,NM_001303013.1
127,PLCH2,NC_000001.10,NM_014638,NM_014638.3
128,PANK4,NC_000001.10,NM_018216,NM_018216.2
129,HES5,NC_000001.10,NM_001010926,NM_001010926.3
130,TNFRSF14,NC_000001.10,NM_003820,NM_003820.3
131,TNFRSF14,NC_000001.10,NM_001297605,NM_001297605.1
132,FAM213B,NC_000001.10,NM_001195736,NM_001195736.1
133,FAM213B,NC_000001.10,NM_001195737,NM_001195737.1
134,FAM213B,NC_000001.10,NM_152371,NM_152371.3
135,FAM213B,NC_000001.10,NM_001195738,NM_001195738.1
136,FAM213B,NC_000001.10,NM_001195740,NM_001195740.1
137,FAM213B,NC_000001.10,NM_001195741,NM_001195741.1
138,MMEL1,NC_000001.10,NM_033467,NM_033467.3
139,TTC34,NC_000001.10,NM_001242672,NM_001242672.1
140,ACTRT2,NC_000001.10,NM_080431,NM_080431.4
141,PRDM16,NC_000001.10,NM_022114,NM_022114.3
142,PRDM16,NC_000001.10,NM_199454,NM_199454.2
