,Gene,Chromosome_Accession,Transcript,Transcript_ID_Full
0,DDX11L1,NC_000001.10,NR_046018,NR_046018.2
1,WASH7P,NC_000001.10,NR_024540,NR_024540.1
2,MIR6859-1,NC_000001.10,NR_106918,NR_106918.1
3,MIR1302-2,NC_000001.10,NR_036051,NR_036051.1
4,FAM138A,NC_000001.10,NR_026818,NR_026818.1
5,OR4F5,NC_000001.10,NM_001005484,NM_001005484.1
6,LOC729737,NC_000001.10,NR_039983,NR_039983.2
7,LOC100132287,NC_000001.10,NR_028322,NR_028322.1
8,OR4F29,NC_000001.10,NM_001005221,NM_001005221.2
9,LOC101928626,NC_000001.10,NR_125957,NR_125957.1
10,MIR6723,NC_000001.10,NR_106781,NR_106781.1
11,OR4F16,NC_000001.10,NM_001005277,NM_001005277.1
12,LOC100133331,NC_000001.10,NR_028327,NR_028327.1
13,LOC100288069,NC_000001.10,NR_033908,NR_033908.1
14,FAM87B,NC_000001.10,NR_103536,NR_103536.1
15,LINC00115,NC_000001.10,NR_024321,NR_024321.1
16,LINC01128,NC_000001.10,NR_047519,NR_047519.1
17,LINC01128,NC_000001.10,NR_047521,NR_047521.1
18,LINC01128,NC_000001.10,NR_047523,NR_047523.1
19,LINC01128,NC_000001.10,NR_047524,NR_047524.1
20,LINC01128,NC_000001.10,NR_047526,NR_047526.1
21,LINC01128,NC_000001.10,NR_047525,NR_047525.1
22,FAM41C,NC_000001.10,NR_027055,NR_027055.1
23,LOC100130417,NC_000001.10,NR_122045,NR_122045.1
24,LOC100130417,NC_000001.10,NR_026874,NR_026874.2
25,SAMD11,NC_000001.10,NM_152486,NM_152486.2
26,NOC2L,NC_000001.10,NM_015658,NM_015658.3
27,KLHL17,NC_000001.10,NM_198317,NM_198317.2
28,PLEKHN1,NC_000001.10,NM_001160184,NM_001160184.1
29,PLEKHN1,NC_000001.10,NM_032129,NM_032129.2
30,PERM1,NC_000001.10,NM_001291366,NM_001291366.1
31,PERM1,NC_000001.10,NM_001291367,NM_001291367.1
32,HES4,NC_000001.10,NM_021170,NM_021170.3
33,HES4,NC_000001.10,NM_001142467,NM_001142467.1
34,ISG15,NC_000001.10,NM_005101,NM_005101.3
35,AGRN,NC_000001.10,NM_001305275,NM_001305275.1
36,AGRN,NC_000001.10,NM_198576,NM_198576.3
37,RNF223,NC_000001.10,NM_001205252,NM_001205252.1
38,C1orf159,NC_000001.10,NM_017891,NM_017891.4
39,C1orf159,NC_000001.10,NM_001330306,NM_001330306.1
40,LINC01342,NC_000001.10,NR_038869,NR_038869.1
41,MIR200B,NC_000001.10,NR_029639,NR_029639.1
42,MIR200A,NC_000001.10,NR_029834,NR_029834.1
43,MIR429,NC_000001.10,NR_029957,NR_029957.1
44,TTLL10,NC_000001.10,NM_001130045,NM_001130045.1
45,TTLL10,NC_000001.10,NM_153254,NM_153254.2
46,TNFRSF18,NC_000001.10,NM_148901,NM_148901.1
47,TNFRSF18,NC_000001.10,NM_148902,NM_148902.1
48,TNFRSF18,NC_000001.10,NM_004195,NM_004195.2
49,TNFRSF4,NC_000001.10,NM_003327,NM_003327.3
50,SDF4,NC_000001.10,NM_016176,NM_016176.3
51,SDF4,NC_000001.10,NM_016547,NM_016547.2
52,B3GALT6,NC_000001.10,NM_080605,NM_080605.3
53,FAM132A,NC_000001.10,NM_001014980,NM_001014980.2
54,UBE2J2,NC_000001.10,NM_194457,NM_194457.1
55,UBE2J2,NC_000001.10,NM_058167,NM_058167.2
56,UBE2J2,NC_000001.10,NM_194315,NM_194315.1
57,UBE2J2,NC_000001.10,NM_194458,NM_194458.1
58,SCNN1D,NC_000001.10,NM_001130413,NM_001130413.3
59,SCNN1D,NC_000001.10,NR_037668,NR_037668.2
60,ACAP3,NC_000001.10,NM_030649,NM_030649.2
61,MIR6726,NC_000001.10,NR_106784,NR_106784.1
62,PUSL1,NC_000001.10,NM_001346116,NM_001346116.1
63,PUSL1,NC_000001.10,NM_153339,NM_153339.2
64,PUSL1,NC_000001.10,NR_144369,NR_144369.1
65,INTS11,NC_000001.10,NM_001256463,NM_001256463.1
66,INTS11,NC_000001.10,NM_017871,NM_017871.5
67,INTS11,NC_000001.10,NM_001256460,NM_001256460.1
68,INTS11,NC_000001.10,NM_001256462,NM_001256462.1
69,INTS11,NC_000001.10,NM_001256456,NM_001256456.1
70,MIR6727,NC_000001.10,NR_106785,NR_106785.1
71,CPTP,NC_000001.10,NM_001029885,NM_001029885.1
72,TAS1R3,NC_000001.10,NM_152228,NM_152228.2
73,DVL1,NC_000001.10,NM_004421,NM_004421.2
74,DVL1,NC_000001.10,NM_001330311,NM_001330311.1
75,MIR6808,NC_000001.10,NR_106866,NR_106866.1
76,MXRA8,NC_000001.10,NM_001282582,NM_001282582.1
77,MXRA8,NC_000001.10,NM_001282583,NM_001282583.1
78,MXRA8,NC_000001.10,NM_001282584,NM_001282584.1
79,MXRA8,NC_000001.10,NM_032348,NM_032348.3
80,MXRA8,NC_000001.10,NM_001282585,NM_001282585.1
81,AURKAIP1,NC_000001.10,NM_017900,NM_017900.2
82,AURKAIP1,NC_000001.10,NM_001127229,NM_001127229.1
83,AURKAIP1,NC_000001.10,NM_001127230,NM_001127230.1
84,CCNL2,NC_000001.10,NM_030937,NM_030937.4
85,CCNL2,NC_000001.10,NM_001320155,NM_001320155.1
86,CCNL2,NC_000001.10,NM_001320153,NM_001320153.1
87,CCNL2,NC_000001.10,NR_135154,NR_135154.1
88,CCNL2,NC_000001.10,NM_001039577,NM_001039577.3
89,LOC148413,NC_000001.10,NR_015434,NR_015434.1
90,MRPL20,NC_000001.10,NM_017971,NM_017971.3
91,MRPL20,NC_000001.10,NM_001318485,NM_001318485.1
92,ANKRD65,NC_000001.10,NM_001243536,NM_001243536.1
93,ANKRD65,NC_000001.10,NM_001243535,NM_001243535.1
94,ANKRD65,NC_000001.10,NM_001145210,NM_001145210.2
95,TMEM88B,NC_000001.10,NM_001146685,NM_001146685.1
96,LINC01770,NC_000001.10,NR_125996,NR_125996.1
97,LINC01770,NC_000001.10,NR_125995,NR_125995.1
98,LINC01770,NC_000001.10,NR_125994,NR_125994.1
99,VWA1,NC_000001.10,NM_022834,NM_022834.4
100,VWA1,NC_000001.10,NM_199121,NM_199121.2
